,ANSWER,QUESTION.question,QUESTION.paragraph
0,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months.,What is the root feed recommendation for managing tree diseases?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
1,"Tridomorph should be applied as a root feed, using 2ml in 100ml water, once monthly for 3 months.",How should tridomorph be applied for disease management?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
2,Tridomorph should be applied once a month.,How often should tridomorph be applied for effective disease control?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
3,Tridomorph is administrated as a root feed.,In what form is tridomorph administrated for disease control?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
4,75% EC.,What is the concentration of tridomorph used in the root feed?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
5,"The tree stem base in the picture appears healthy, as indicated by the title underneath.",Describe the health of the tree stem base pictured in the document.,Healthy tree stem base
6,The picture on the left shows a healthy tree stem base.,What is shown in the picture on the left side of the document?,Healthy tree stem base
7,The fruiting bodies are located at the base of the infected tree.,Where are the fruiting bodies of the infected tree located?,Fruiting bodies at base of the infected tree
8,The right-side image shows fruiting bodies at the base of the infected tree.,What is shown at the base of the tree in the right-side image?,Fruiting bodies at base of the infected tree
9,The treatment should be administered for 3 months.,How long should the tridomorph treatment be administered?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
10,The presence of fruiting bodies at the base indicates an infected tree.,What are the visible indicators of an infected tree as per the image?,Fruiting bodies at base of the infected tree
11,"One image shows a healthy tree stem base, and the other shows fruiting bodies at the base of the infected tree, indicating infection.",What is the nature of the visual difference between the images provided?,Healthy tree stem base; Fruiting bodies at base of the infected tree
12,The passage primarily discusses the application and treatment regimen using tridomorph for tree disease management.,What does the passage primarily discuss in terms of tree disease management?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
13,"Tridomorph is a fungicide. It is used as a root feed, mixing 2ml in 100ml water.","What type of substance is tridomorph, and how is it used?",Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
14,"Healthy trees have a clear stem base, whereas infected trees exhibit fruiting bodies at the base.",What are the key differences between healthy and infected trees as shown?,Healthy tree stem base; Fruiting bodies at base of the infected tree
15,Tridomorph is used to manage tree diseases by preventing fungal infections.,Why might someone use tridomorph for tree maintenance?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
16,"A root feed with tridomorph 75% EC, applied once monthly for 3 months, is recommended.",What preventive measure is recommended for tree disease in the mentioned document?,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
17,"A clear, unobstructed, and fungus-free stem base indicates a healthy tree.",What visual clues indicate a healthy tree according to the document?,Healthy tree stem base
18,"The treatment involves applying tridomorph 75% EC as a root feed, 2ml mixed in 100ml water, once every month for three months.",Summarize the treatment process for managing tree diseases as per the text.,Root feed with tridomorph 75% EC 2ml in 100ml water once in a month for 3 months
19,Myrtaceae,Which family does Eucalyptus grandis belong to?,Family : Myrtaceae
20,Myrtales,What order does Eucalyptus grandis belong to?,Order : Myrtales
21,Eucalyptus,What genus does Eucalyptus grandis belong to?,Genus : Eucalyptus
