,ANSWER,QUESTION.question,QUESTION.paragraph
0,Good soil management,What is the key to plant and livestock nutrition in organic farming?,Good soil management is the key to plant and livestock nutrition in organic farming.
1,Greater recognition and attention,What will achieving good soil management in the environment receive?,the value of good quality soils and appropriate soil management to our environment is starting to receive greater recognition and attention.
2,Soil management,What does the technical guide advise on?,This technical guide provides advice on soil management in relation to both long-term land management and day to day decision making.
3,Understanding of soil and farming operations,What will understanding of soil management help users with?,It will give users an understanding of soil and how farming operations can affect soil properties.
4,How to maintain and improve soil health and fertility,What practical information does the guide provide?,It also provides practical information on how to maintain and improve soil health and fertility.
5,Efficient and sensitive land management,What benefit does the information in this guide offer to farming?,The information in this guide will help achieve efficient and sensitive land management on organic farms.
6,"Organic farms, farmers in conversion, interested farmers",What types of farms is this guide aimed at?,"This guide is aimed at organic farmers, farmers in conversion and farmers interested in organic techniques."
7,Supporters of the organic sector and policy makers,Who else will find value in this guide?,"The guide will also be of value to those supporting the organic sector with advice and information, as well as policy makers."
8,Principles and Policy,What topics are covered in Chapter 1 of the guide?,1.1 Principles 3 1.2 Policy
9,Chapter 4,Which chapter provides information on testing for compaction?,4.4 Testing for compaction 19
10,Organic standards,What aspect of soil management does Chapter 2 focus on?,2.1 Conversions 5 2.2 Rotation design 5 2.3 Manures and plant wastes 5 2.4 Supplementary fertilisers
11,Understanding soil,What is the central theme of Chapter 3?,3.1 Soil health 7 3.2 Soil biology 7 3.3 Soil fertility 8 3.4 Soil types
12,"Chemical analysis, sampling, interpreting results, testing for compaction",What are the subtopics under soil analysis in Chapter 4?,4.1 Testing for chemical analysis 16 4.2 Sampling for chemical analysis
13,Building soil fertility,What is the focus of Chapter 5 of the guide?,"Compost, manures, and legumes, green manures and cover crops"
14,Protecting soil fertility,Chapter 6 offers insights into what topic?,"Avoiding run-off and erosion, crop rotation and crop diversity, nutrient losses and gains, cultivations, drainage"
15,Avoiding run-off and erosion,Which subtopic in Chapter 6 deals with erosion?,6.1 Avoiding run-off and erosion
16,Farming systems,What does Chapter 7 discuss regarding farming methods?,7.1 Stock based systems 34 7.2 Mixed systems 35
